id_Prov_Mun,Municipio,Región,AMBA
6-7,Adolfo Alsina,Región I,Interior
6-14,Adolfo Gonzáles Chaves,Región I,Interior
6-56,Bahía Blanca,Región I,Interior
6-182,Coronel de Marina L. Rosales,Región I,Interior
6-189,Coronel Dorrego,Región I,Interior
6-196,Coronel Pringles,Región I,Interior
6-203,Coronel Suárez,Región I,Interior
6-399,Guaminí,Región I,Interior
6-553,Monte Hermoso,Región I,Interior
6-602,Patagones,Región I,Interior
6-651,Puán,Región I,Interior
6-700,Saavedra,Región I,Interior
6-819,Tornquist,Región I,Interior
6-833,Tres Arroyos,Región I,Interior
6-875,Villarino,Región I,Interior
6-588,9 de julio,Región II,Interior
6-147,Carlos Casares,Región II,Interior
6-154,Carlos Tejedor,Región II,Interior
6-231,Daireaux,Región II,Interior
6-392,General Villegas,Región II,Interior
6-406,Hipólito Yrigoyen,Región II,Interior
6-609,Pehuajó,Región II,Interior
6-616,Pellegrini,Región II,Interior
6-679,Rivadavia,Región II,Interior
6-721,Salliqueló,Región II,Interior
6-826,Trenque Lauquen,Región II,Interior
6-847,Tres Lomas,Región II,Interior
6-210,Chacabuco,Región III,Interior
6-277,Florentino Ameghino,Región III,Interior
6-294,General Arenales,Región III,Interior
6-351,General Pinto,Región III,Interior
6-385,General Viamonte,Región III,Interior
6-413,Junín,Región III,Interior
6-462,Leandro N. Alem,Región III,Interior
6-469,Lincoln,Región III,Interior
6-77,Arrecifes,Región IV,Interior
6-70,Baradero,Región IV,Interior
6-140,Capitán Sarmiento,Región IV,Interior
6-161,Carmen de Areco,Región IV,Interior
6-175,Colón,Región IV,Interior
6-623,Pergamino,Región IV,Interior
6-665,Ramallo,Región IV,Interior
6-686,Rojas,Región IV,Interior
6-714,Salto,Región IV,Interior
6-728,San Andrés de Giles,Región IV,Interior
6-735,San Antonio de Areco,Región IV,Interior
6-763,San Nicolás de los Arroyos,Región IV,Interior
6-770,San Pedro,Región IV,Interior
6-126,Campana,Región V,AMBA
6-252,Escobar,Región V,AMBA
6-266,Exaltación de la Cruz,Región V,AMBA
6-371,General San Martín,Región V,AMBA
6-412,José C. Paz,Región V,AMBA
6-515,Malvinas Argentinas,Región V,AMBA
6-638,Pilar,Región V,AMBA
6-749,San Fernando,Región V,AMBA
6-756,San Isidro,Región V,AMBA
6-760,San Miguel,Región V,AMBA
6-805,Tigre,Región V,AMBA
6-861,Vicente López,Región V,AMBA
6-882,Zárate,Región V,AMBA
6-28,Almirante Brown,Región VI,AMBA
6-35,Avellaneda,Región VI,AMBA
6-91,Berazategui,Región VI,AMBA
6-260,Esteban Echeverría,Región VI,AMBA
6-270,Ezeiza,Región VI,AMBA
6-274,Florencio Varela,Región VI,AMBA
6-434,Lanús,Región VI,AMBA
6-490,Lomas de Zamora,Región VI,AMBA
6-658,Quilmes,Región VI,AMBA
6-329,General Las Heras,Región VII,AMBA
6-364,General Rodríguez,Región VII,AMBA
6-408,Hurlingham,Región VII,AMBA
6-410,Ituzaingó,Región VII,AMBA
6-497,Luján,Región VII,AMBA
6-525,Marcos Paz,Región VII,AMBA
6-539,Merlo,Región VII,AMBA
6-560,Moreno,Región VII,AMBA
6-568,Morón,Región VII,AMBA
6-840,3 de febrero,Región VII,AMBA
6-42,Ayacucho,Región VIII,Interior
6-63,Balcarce,Región VIII,Interior
6-280,General Alvarado,Región VIII,Interior
6-308,General Guido,Región VIII,Interior
6-315,General Juan Madariaga,Región VIII,Interior
6-336,General Lavalle,Región VIII,Interior
6-357,General Pueyrredón,Región VIII,Interior
6-420,La Costa,Región VIII,Interior
6-476,Lobería,Región VIII,Interior
6-511,Maipú,Región VIII,Interior
6-518,Mar Chiquita,Región VIII,Interior
6-581,Necochea,Región VIII,Interior
6-644,Pinamar,Región VIII,Interior
6-742,San Cayetano,Región VIII,Interior
6-791,Tandil,Región VIII,Interior
6-868,Villa Gesell,Región VIII,Interior
6-49,Azul,Región IX,Interior
6-84,Benito Juárez,Región IX,Interior
6-105,Bolívar,Región IX,Interior
6-287,General Alvear,Región IX,Interior
6-322,General La Madrid,Región IX,Interior
6-448,Laprida,Región IX,Interior
6-455,Las Flores,Región IX,Interior
6-595,Olavarría,Región IX,Interior
6-672,Rauch,Región IX,Interior
6-798,Tapalqué,Región IX,Interior
6-854,25 de mayo,Región X,Interior
6-21,Alberti,Región X,Interior
6-112,Bragado,Región X,Interior
6-224,Chivilcoy,Región X,Interior
6-483,Lobos,Región X,Interior
6-532,Mercedes,Región X,Interior
6-574,Navarro,Región X,Interior
6-693,Roque Pérez,Región X,Interior
6-707,Saladillo,Región X,Interior
6-784,Suipacha,Región X,Interior
6-98,Berisso,Región XI,AMBA
6-119,Brandsen,Región XI,AMBA
6-134,Cañuelas,Región XI,AMBA
6-168,Castelli,Región XI,Interior
6-217,Chascomús,Región XI,Interior
6-238,Dolores,Región XI,Interior
6-245,Ensenada,Región XI,AMBA
6-301,General Belgrano,Región XI,Interior
6-343,General Paz,Región XI,Interior
6-441,La Plata,Región XI,AMBA
6-466,Lezama,Región XI,Interior
6-505,Magdalena,Región XI,Interior
6-547,Monte,Región XI,Interior
6-630,Pila,Región XI,Interior
6-648,Presidente Perón,Región XI,AMBA
6-655,Punta Indio,Región XI,Interior
6-778,San Vicente,Región XI,AMBA
6-812,Tordillo,Región XI,Interior
6-427,La Matanza,Región XII,AMBA
