id_Mun,id_Prov_Mun,Municipio_PBA,Región,AMBA,Apertura_PBA_UNGS,Apertura_PBA_UNDAV,"lat,long",pob_2015,pob_2016,pob_2017,pob_2018,pob_2019,pob_2020,pob_2021,pob_2022,pob_2023,pob_2024,pob_2025
7,6-7,Adolfo Alsina,Región I,Interior PBA,Interior PBA,Interior PBA,"-37.179483264541,-62.7599903900444",17356,17382,17407,17433,17458,17483,17507,17532,17556,17580,17603
14,6-14,Adolfo Gonzáles Chaves,Región I,Interior PBA,Interior PBA,Interior PBA,"-38.0323707296254,-60.0993919272956",12040,12016,11992,11968,11944,11922,11899,11877,11855,11832,11811
56,6-56,Bahía Blanca,Región I,Interior PBA,Interior PBA,Interior PBA,"-38.7227702774263,-62.2727419997435",307250,307836,308413,308982,309544,310095,310639,311175,311704,312224,312738
182,6-182,Coronel de Marina L. Rosales,Región I,Interior PBA,Interior PBA,Interior PBA,"-38.8781733536173,-62.0794804610544",63124,63203,63281,63358,63433,63508,63581,63654,63725,63795,63864
189,6-189,Coronel Dorrego,Región I,Interior PBA,Interior PBA,Interior PBA,"-38.7187998749142,-61.2883602471277",15589,15511,15435,15359,15285,15212,15141,15070,15000,14931,14864
196,6-196,Coronel Pringles,Región I,Interior PBA,Interior PBA,Interior PBA,"-37.9856677756473,-61.3503974315961",22659,22561,22463,22368,22273,22180,22089,21999,21910,21823,21737
203,6-203,Coronel Suárez,Región I,Interior PBA,Interior PBA,Interior PBA,"-37.458528918175,-61.9328938309854",39506,39673,39838,40001,40162,40320,40474,40627,40778,40927,41073
399,6-399,Guaminí,Región I,Interior PBA,Interior PBA,Interior PBA,"-37.010920943047,-62.4222497384346",12263,12329,12394,12458,12522,12584,12646,12707,12766,12825,12883
553,6-553,Monte Hermoso,Región I,Interior PBA,Interior PBA,Interior PBA,"-38.9866632503087,-61.2909287459648",6980,7064,7147,7230,7310,7390,7468,7546,7621,7695,7769
602,6-602,Patagones,Región I,Interior PBA,Interior PBA,Interior PBA,"-40.8025151530518,-62.9836021861919",31250,31405,31557,31708,31856,32002,32146,32288,32427,32565,32701
651,6-651,Puán,Región I,Interior PBA,Interior PBA,Interior PBA,"-37.5480950159722,-62.7683364682534",15486,15396,15309,15223,15137,15054,14972,14891,14811,14733,14657
700,6-700,Saavedra,Región I,Interior PBA,Interior PBA,Interior PBA,"-37.6025487131525,-62.4083614846947",21449,21551,21651,21750,21847,21943,22037,22130,22221,22311,22400
819,6-819,Tornquist,Región I,Interior PBA,Interior PBA,Interior PBA,"-38.1012814181029,-62.2229543261812",13395,13507,13619,13728,13836,13942,14047,14150,14251,14352,14450
833,6-833,Tres Arroyos,Región I,Interior PBA,Interior PBA,Interior PBA,"-38.3771966980691,-60.2752150701194",57543,57556,57572,57590,57611,57634,57660,57689,57720,57754,57789
875,6-875,Villarino,Región I,Interior PBA,Interior PBA,Interior PBA,"-38.8292649436222,-62.6933096038551",33830,34341,34847,35344,35834,36315,36790,37258,37719,38172,38619
588,6-588,Nueve de Julio,Región II,Interior PBA,Interior PBA,Interior PBA,"-35.4439352797893,-60.8846274849704",48475,48539,48601,48661,48721,48780,48838,48896,48952,49008,49063
147,6-147,Carlos Casares,Región II,Interior PBA,Interior PBA,Interior PBA,"-35.6224737492641,-61.3654951313952",23078,23206,23334,23459,23583,23704,23824,23941,24059,24173,24286
