id_Mun,id_Prov_Mun,Municipio_PBA,Región,AMBA,Apertura_PBA_UNGS,Apertura_PBA_UNDAV,"lat,long"
7,6-7,Adolfo Alsina,Región I,Interior PBA,Interior PBA,Interior PBA,"-37.179483264541,-62.7599903900444"
14,6-14,Adolfo Gonzáles Chaves,Región I,Interior PBA,Interior PBA,Interior PBA,"-38.0323707296254,-60.0993919272956"
56,6-56,Bahía Blanca,Región I,Interior PBA,Interior PBA,Interior PBA,"-38.7227702774263,-62.2727419997435"
182,6-182,Coronel de Marina L. Rosales,Región I,Interior PBA,Interior PBA,Interior PBA,"-38.8781733536173,-62.0794804610544"
189,6-189,Coronel Dorrego,Región I,Interior PBA,Interior PBA,Interior PBA,"-38.7187998749142,-61.2883602471277"
196,6-196,Coronel Pringles,Región I,Interior PBA,Interior PBA,Interior PBA,"-37.9856677756473,-61.3503974315961"
203,6-203,Coronel Suárez,Región I,Interior PBA,Interior PBA,Interior PBA,"-37.458528918175,-61.9328938309854"
399,6-399,Guaminí,Región I,Interior PBA,Interior PBA,Interior PBA,"-37.010920943047,-62.4222497384346"
553,6-553,Monte Hermoso,Región I,Interior PBA,Interior PBA,Interior PBA,"-38.9866632503087,-61.2909287459648"
602,6-602,Patagones,Región I,Interior PBA,Interior PBA,Interior PBA,"-40.8025151530518,-62.9836021861919"
651,6-651,Puán,Región I,Interior PBA,Interior PBA,Interior PBA,"-37.5480950159722,-62.7683364682534"
700,6-700,Saavedra,Región I,Interior PBA,Interior PBA,Interior PBA,"-37.6025487131525,-62.4083614846947"
819,6-819,Tornquist,Región I,Interior PBA,Interior PBA,Interior PBA,"-38.1012814181029,-62.2229543261812"
833,6-833,Tres Arroyos,Región I,Interior PBA,Interior PBA,Interior PBA,"-38.3771966980691,-60.2752150701194"
875,6-875,Villarino,Región I,Interior PBA,Interior PBA,Interior PBA,"-38.8292649436222,-62.6933096038551"
588,6-588,Nueve de Julio,Región II,Interior PBA,Interior PBA,Interior PBA,"-35.4439352797893,-60.8846274849704"
147,6-147,Carlos Casares,Región II,Interior PBA,Interior PBA,Interior PBA,"-35.6224737492641,-61.3654951313952"
154,6-154,Carlos Tejedor,Región II,Interior PBA,Interior PBA,Interior PBA,"-35.3914863099452,-62.4199534607836"
231,6-231,Daireaux,Región II,Interior PBA,Interior PBA,Interior PBA,"-36.5996329368106,-61.7475424061571"
392,6-392,General Villegas,Región II,Interior PBA,Interior PBA,Interior PBA,"-35.0326342648594,-63.0150256478154"
406,6-406,Hipólito Yrigoyen,Región II,Interior PBA,Interior PBA,Interior PBA,"-36.2981771238751,-61.7185623854457"
609,6-609,Pehuajó,Región II,Interior PBA,Interior PBA,Interior PBA,"-35.8108053330996,-61.8989682126129"
616,6-616,Pellegrini,Región II,Interior PBA,Interior PBA,Interior PBA,"-36.2679141878894,-63.1647218996958"
679,6-679,Rivadavia,Región II,Interior PBA,Interior PBA,Interior PBA,"-35.4891640479824,-62.9758916831546"
721,6-721,Salliqueló,Región II,Interior PBA,Interior PBA,Interior PBA,"-36.7515133838356,-62.9591311422884"
826,6-826,Trenque Lauquen,Región II,Interior PBA,Interior PBA,Interior PBA,"-35.9733358980332,-62.732745052742"
847,6-847,Tres Lomas,Región II,Interior PBA,Interior PBA,Interior PBA,"-36.4591893283248,-62.8625761709535"
210,6-210,Chacabuco,Región III,Interior PBA,Interior PBA,Interior PBA,"-34.6420259874093,-60.4712365319403"
277,6-277,Florentino Ameghino,Región III,Interior PBA,Interior PBA,Interior PBA,"-34.8453724218997,-62.4671568416149"
294,6-294,General Arenales,Región III,Interior PBA,Interior PBA,Interior PBA,"-34.3033240028004,-61.3070338888029"
351,6-351,General Pinto,Región III,Interior PBA,Interior PBA,Interior PBA,"-34.76433157784,-61.8916280746759"
385,6-385,General Viamonte,Región III,Interior PBA,Interior PBA,Interior PBA,"-34.99997082969,-61.038740007945"
413,6-413,Junín,Región III,Interior PBA,Interior PBA,Interior PBA,"-34.5939417440162,-60.9464309698134"
462,6-462,Leandro N. Alem,Región III,Interior PBA,Interior PBA,Interior PBA,"-34.4979071779738,-61.5423105969564"
469,6-469,Lincoln,Región III,Interior PBA,Interior PBA,Interior PBA,"-34.8681769069387,-61.5294113015902"
77,6-77,Arrecifes,Región IV,Interior PBA,Interior PBA,Interior PBA,"-34.0675149076868,-60.1086915854482"
70,6-70,Baradero,Región IV,Interior PBA,Interior PBA,Interior PBA,"-33.8070727746888,-59.502227834447"
140,6-140,Capitán Sarmiento,Región IV,Interior PBA,Interior PBA,Interior PBA,"-34.1712798490857,-59.7935986805346"
161,6-161,Carmen de Areco,Región IV,Interior PBA,Interior PBA,Interior PBA,"-34.3766620788918,-59.8226965331185"
175,6-175,Colón,Región IV,Interior PBA,Interior PBA,Interior PBA,"-33.8971263967658,-61.0994163616757"
623,6-623,Pergamino,Región IV,Interior PBA,Interior PBA,Interior PBA,"-33.89110914627,-60.5745861942974"
665,6-665,Ramallo,Región IV,Interior PBA,Interior PBA,Interior PBA,"-33.4852021201817,-60.0044384245936"
686,6-686,Rojas,Región IV,Interior PBA,Interior PBA,Interior PBA,"-34.1977424299691,-60.7337006961302"
714,6-714,Salto,Región IV,Interior PBA,Interior PBA,Interior PBA,"-34.2917463151403,-60.2545024881993"
728,6-728,San Andrés de Giles,Región IV,Interior PBA,Interior PBA,Interior PBA,"-34.4423774221802,-59.4475191785672"
735,6-735,San Antonio de Areco,Región IV,Interior PBA,Interior PBA,Interior PBA,"-34.2436381380896,-59.4736523440804"
763,6-763,San Nicolás de los Arroyos,Región IV,Interior PBA,Interior PBA,Interior PBA,"-33.3388220104274,-60.2218965170106"
770,6-770,San Pedro,Región IV,Interior PBA,Interior PBA,Interior PBA,"-33.6759480338746,-59.6630158154275"
126,6-126,Campana,Región V,AMBA,Tercer cordón,Tercer cordón,"-34.1632540248533,-58.9592077500376"
252,6-252,Escobar,Región V,AMBA,Tercer cordón,Tercer cordón,"-34.3460457336237,-58.7944154648018"
266,6-266,Exaltación de la Cruz,Región V,AMBA,Tercer cordón,Tercer cordón,"-34.2941400469256,-59.0992709812707"
371,6-371,General San Martín,Región V,AMBA,Primer cordón,Primer cordón,"-34.5779100955744,-58.538656474017"
412,6-412,José C. Paz,Región V,AMBA,Segundo cordón,Segundo cordón,"-34.5231938431213,-58.7519435026904"
515,6-515,Malvinas Argentinas,Región V,AMBA,Segundo cordón,Segundo cordón,"-34.5020886360816,-58.6949943496095"
638,6-638,Pilar,Región V,AMBA,Tercer cordón,Tercer cordón,"-34.4586965254243,-58.9139679120894"
749,6-749,San Fernando,Región V,AMBA,Primer cordón,Segundo cordón,"-34.4406044816115,-58.5581489421199"
756,6-756,San Isidro,Región V,AMBA,Primer cordón,Primer cordón,"-34.4664285222585,-58.5096898127346"
760,6-760,San Miguel,Región V,AMBA,Segundo cordón,Segundo cordón,"-34.5430416027877,-58.7119689875787"
805,6-805,Tigre,Región V,AMBA,Segundo cordón,Segundo cordón,"-34.4226492597555,-58.5808752886636"
861,6-861,Vicente López,Región V,AMBA,Primer cordón,Primer cordón,"-34.5093203796318,-58.4813961663"
882,6-882,Zárate,Región V,AMBA,Tercer cordón,Tercer cordón,"-34.0958050953288,-59.0243232311321"
28,6-28,Almirante Brown,Región VI,AMBA,Segundo cordón,Segundo cordón,"-34.7973726761081,-58.3884529298588"
35,6-35,Avellaneda,Región VI,AMBA,Primer cordón,Primer cordón,"-34.6638295180178,-58.3627373528465"
91,6-91,Berazategui,Región VI,AMBA,Segundo cordón,Segundo cordón,"-34.7630163220456,-58.2121691470884"
260,6-260,Esteban Echeverría,Región VI,AMBA,Segundo cordón,Segundo cordón,"-34.8163558068749,-58.468264228911"
270,6-270,Ezeiza,Región VI,AMBA,Segundo cordón,Segundo cordón,"-34.8527621790313,-58.5232011228335"
274,6-274,Florencio Varela,Región VI,AMBA,Segundo cordón,Segundo cordón,"-34.8044367905254,-58.2792527719978"
434,6-434,Lanús,Región VI,AMBA,Primer cordón,Primer cordón,"-34.7037709461722,-58.4005603047142"
490,6-490,Lomas de Zamora,Región VI,AMBA,Primer cordón,Primer cordón,"-34.7596127829036,-58.3994691320947"
658,6-658,Quilmes,Región VI,AMBA,Segundo cordón,Segundo cordón,"-34.7200676329149,-58.2543469769314"
329,6-329,General Las Heras,Región VII,AMBA,Tercer cordón,Tercer cordón,"-34.9269092951278,-58.9467069523639"
364,6-364,General Rodríguez,Región VII,AMBA,Tercer cordón,Tercer cordón,"-34.6064310690385,-58.9521606355049"
408,6-408,Hurlingham,Región VII,AMBA,Primer cordón,Segundo cordón,"-34.5898718836804,-58.6374410256827"
410,6-410,Ituzaingó,Región VII,AMBA,Primer cordón,Segundo cordón,"-34.6506041257798,-58.6717219563032"
497,6-497,Luján,Región VII,AMBA,Tercer cordón,Tercer cordón,"-34.5633574146129,-59.1211183187554"
525,6-525,Marcos Paz,Región VII,AMBA,Tercer cordón,Tercer cordón,"-34.7843157277886,-58.8353369561356"
539,6-539,Merlo,Región VII,AMBA,Segundo cordón,Segundo cordón,"-34.6649832276938,-58.7279481147137"
560,6-560,Moreno,Región VII,AMBA,Segundo cordón,Segundo cordón,"-34.6512923274789,-58.7900019150563"
568,6-568,Morón,Región VII,AMBA,Primer cordón,Primer cordón,"-34.64745733229,-58.6218615473725"
840,6-840,Tres de Febrero,Región VII,AMBA,Primer cordón,Primer cordón,"-34.6079360503084,-58.5639388502977"
42,6-42,Ayacucho,Región VIII,Interior PBA,Interior PBA,Interior PBA,"-37.1527609909269,-58.4883791744593"
63,6-63,Balcarce,Región VIII,Interior PBA,Interior PBA,Interior PBA,"-37.8463826225599,-58.2554911690821"
280,6-280,General Alvarado,Región VIII,Interior PBA,Interior PBA,Interior PBA,"-38.2670059243839,-57.845029450049"
308,6-308,General Guido,Región VIII,Interior PBA,Interior PBA,Interior PBA,"-36.6431665881674,-57.79050239427"
315,6-315,General Juan Madariaga,Región VIII,Interior PBA,Interior PBA,Interior PBA,"-37.0019581916172,-57.1358377703967"
336,6-336,General Lavalle,Región VIII,Interior PBA,Interior PBA,Interior PBA,"-36.4080860931986,-56.9433578441891"
357,6-357,General Pueyrredón,Región VIII,Interior PBA,Interior PBA,Interior PBA,"-38.0064494389904,-57.5438377446162"
420,6-420,La Costa,Región VIII,Interior PBA,Interior PBA,Interior PBA,"-36.5738770090167,-56.6908898289024"
476,6-476,Lobería,Región VIII,Interior PBA,Interior PBA,Interior PBA,"-38.1633849365655,-58.7818467925954"
511,6-511,Maipú,Región VIII,Interior PBA,Interior PBA,Interior PBA,"-36.862958717171,-57.8831233046967"
518,6-518,Mar Chiquita,Región VIII,Interior PBA,Interior PBA,Interior PBA,"-37.4465162041595,-57.7293917660172"
581,6-581,Necochea,Región VIII,Interior PBA,Interior PBA,Interior PBA,"-38.5712233385862,-58.726242013558"
644,6-644,Pinamar,Región VIII,Interior PBA,Interior PBA,Interior PBA,"-37.1138217780526,-56.8580775492395"
742,6-742,San Cayetano,Región VIII,Interior PBA,Interior PBA,Interior PBA,"-38.3457892506734,-59.6067598768668"
791,6-791,Tandil,Región VIII,Interior PBA,Interior PBA,Interior PBA,"-37.3286954878065,-59.1368975553779"
868,6-868,Villa Gesell,Región VIII,Interior PBA,Interior PBA,Interior PBA,"-37.2632305337621,-56.974558550037"
49,6-49,Azul,Región IX,Interior PBA,Interior PBA,Interior PBA,"-36.7774470032766,-59.8634430460597"
84,6-84,Benito Juárez,Región IX,Interior PBA,Interior PBA,Interior PBA,"-37.6742849779693,-59.8048051838122"
105,6-105,Bolívar,Región IX,Interior PBA,Interior PBA,Interior PBA,"-36.2298792676141,-61.1139170852053"
287,6-287,General Alvear,Región IX,Interior PBA,Interior PBA,Interior PBA,"-36.0217418765863,-60.014505384316"
322,6-322,General La Madrid,Región IX,Interior PBA,Interior PBA,Interior PBA,"-37.2496672842178,-61.2621992089263"
448,6-448,Laprida,Región IX,Interior PBA,Interior PBA,Interior PBA,"-37.5442260048262,-60.8010273268496"
455,6-455,Las Flores,Región IX,Interior PBA,Interior PBA,Interior PBA,"-36.0142687585963,-59.0998639762415"
595,6-595,Olavarría,Región IX,Interior PBA,Interior PBA,Interior PBA,"-36.8938423238641,-60.3231937151178"
672,6-672,Rauch,Región IX,Interior PBA,Interior PBA,Interior PBA,"-36.7744147069731,-59.0882891430295"
798,6-798,Tapalqué,Región IX,Interior PBA,Interior PBA,Interior PBA,"-36.356235979207,-60.0251124031149"
854,6-854,Veinticinco de Mayo,Región X,Interior PBA,Interior PBA,Interior PBA,"-35.4324710847727,-60.1715593513829"
21,6-21,Alberti,Región X,Interior PBA,Interior PBA,Interior PBA,"-35.0315746233701,-60.2802860161867"
112,6-112,Bragado,Región X,Interior PBA,Interior PBA,Interior PBA,"-35.1155662797599,-60.4896499898551"
224,6-224,Chivilcoy,Región X,Interior PBA,Interior PBA,Interior PBA,"-34.8968958292791,-60.0190913736679"
483,6-483,Lobos,Región X,Interior PBA,Interior PBA,Interior PBA,"-35.1854255524473,-59.0978341614174"
532,6-532,Mercedes,Región X,Interior PBA,Interior PBA,Interior PBA,"-34.6507332135669,-59.4313874409776"
